maker_model,body_type,type,seat,door,mileage,non_smoker_vehicle,power,gearbox,engine_size,fuel_type,emission_classe,colour,upholstery_colour,upholstery,price (€),car_age,inspection_interval
181,13,5,5,5,16990,1,180,0,1395,10,7,7,1,3,31840,2,-1
560,13,5,8,4,78341,1,100,0,2143,4,5,2,1,2,33880,5,0
521,8,5,5,4,267000,0,165,0,2987,3,3,10,1,1,8990,16,-2
272,8,1,5,5,15000,1,160,0,1968,10,5,7,0,1,53990,1,-2
95,13,5,5,4,98110,1,195,0,2993,3,5,1,1,1,33499,4,-1
212,2,5,4,2,7602,1,87,0,1968,10,5,12,1,2,24480,2,0
533,12,5,5,4,47270,1,270,0,2996,17,8,1,1,1,76780,4,0
86,12,5,5,5,49189,1,110,0,1995,4,8,1,0,1,25400,4,0
410,12,5,5,4,14000,1,100,0,1332,11,7,1,1,3,26800,3,0
438,13,5,5,4,164000,1,80,1,1461,3,5,7,1,3,16780,8,-2
774,8,5,5,5,11729,0,81,1,999,20,5,7,1,2,23890,1,0
430,13,5,5,4,96192,1,180,0,1950,3,5,1,4,3,37790,4,0
753,12,5,5,5,26800,1,110,0,1395,20,5,12,1,0,30950,2,-1
62,12,2,5,5,17749,0,195,0,1998,20,7,1,6,0,38490,1,0
767,13,5,5,5,102000,0,140,0,1968,4,5,12,1,0,26490,5,0
439,13,5,5,4,79000,1,110,0,1950,3,7,7,1,3,28490,4,0
795,8,5,5,5,6000,0,110,0,1498,21,5,1,1,5,33970,2,-1
241,8,5,5,5,41715,1,165,0,2500,20,5,1,1,3,30890,2,1
97,13,5,5,4,52304,1,250,0,2998,11,6,12,3,1,43500,4,0
462,12,5,5,4,9715,1,155,0,1991,21,7,1,1,1,58950,2,0
775,3,5,4,2,809,1,110,0,1498,20,7,12,1,0,33889,1,0
770,2,5,5,4,92700,1,66,0,1422,3,5,12,1,0,16780,8,0
547,3,5,2,2,51645,1,120,1,1998,16,3,10,1,1,10490,23,0
688,13,5,5,4,78090,0,110,0,1968,4,8,10,1,2,18888,4,-1
439,4,5,5,4,29478,1,115,0,1595,16,5,2,1,1,27480,6,0
123,8,5,5,4,26132,1,353,0,2993,11,6,2,1,1,68999,3,0
688,12,5,5,5,40904,1,150,0,1400,21,8,9,1,0,25850,2,1
775,8,1,5,5,4900,1,110,0,1999,4,5,7,1,0,32980,0,0
236,12,5,5,5,30000,1,111,0,1496,21,8,12,1,0,21485,4,0
500,4,5,5,4,96983,1,270,0,2996,16,8,1,1,1,49680,5,0
374,8,5,5,5,8503,1,162,0,1499,10,7,9,1,0,29940,3,0
702,13,5,5,5,117639,1,88,1,1598,4,5,12,1,0,16950,5,0
697,8,5,5,5,88939,1,140,0,1968,4,8,12,1,1,30950,4,-1
611,8,5,5,4,167000,1,100,1,1598,3,5,4,1,3,11700,8,0
32,8,4,5,5,5,1,110,0,1498,21,8,2,1,3,39970,0,-3
117,8,5,5,4,36200,1,103,0,1499,11,6,1,1,0,26999,4,-1
45,13,5,5,5,15900,1,566,0,3996,29,5,2,1,5,144990,3,0
45,13,4,5,5,100,1,441,0,3996,21,5,7,1,1,139900,0,-3
33,8,1,5,4,16000,1,147,0,1968,4,8,7,1,1,57980,1,-2
598,13,5,5,5,28145,0,81,1,1199,26,7,9,1,0,17990,2,0
685,8,5,5,5,85350,0,110,0,1498,20,8,12,1,0,23980,3,0
422,12,5,5,5,17728,1,118,0,1332,10,7,1,1,2,34845,2,0
752,12,5,5,5,42301,1,180,0,1984,17,7,9,1,0,32440,3,0
557,18,1,6,5,5000,1,140,0,1950,4,8,12,1,0,81490,0,0
338,3,4,4,2,10,1,341,0,4969,16,7,9,1,1,118690,0,0
553,13,5,3,4,49050,1,120,1,2143,3,5,1,1,0,41638,4,0
