maker_model,body_type,type,seat,door,mileage,non_smoker_vehicle,power,gearbox,engine_size,fuel_type,emission_classe,colour,upholstery_colour,upholstery,price (€),car_age,inspection_interval
64,12,5,5,4,22750,1,110,0,1995,3,7,7,1,0,28500,3,0
560,13,5,8,4,77900,1,120,0,2143,4,5,6,1,1,37880,7,0
236,12,5,5,4,147000,0,77,1,1499,3,5,7,1,0,8199,8,-1
189,2,1,4,5,6500,0,33,0,0,10,5,1,4,0,23459,0,0
300,8,5,5,5,57100,1,125,0,1368,11,5,12,1,3,23980,4,0
456,12,5,5,4,199000,0,90,0,2148,3,3,1,4,1,8780,17,-1
794,9,3,5,5,7,0,70,1,999,20,5,12,1,0,28500,1,0
688,13,5,5,5,44600,1,110,0,1968,3,8,2,1,3,22900,3,0
23,12,5,5,4,55525,1,110,0,1968,4,8,1,1,1,24680,4,0
624,2,5,4,5,89088,1,51,1,998,20,5,9,1,0,6190,8,0
694,13,5,5,5,45000,0,81,0,1197,20,5,7,1,0,14900,7,-2
795,8,5,5,5,77583,0,147,0,1968,4,5,1,4,4,44780,1,0
785,13,5,6,4,133050,1,110,1,1968,3,8,12,1,0,25930,4,0
618,18,5,6,5,322,0,100,0,1968,10,5,1,1,1,51440,1,0
598,12,5,5,5,99537,0,90,1,1496,4,7,12,1,3,13850,3,0
653,8,3,5,5,0,1,195,0,1984,16,5,1,1,3,97334,1,0
486,8,5,5,4,28000,1,125,0,2143,4,5,1,1,2,28880,5,0
685,8,5,5,5,18283,1,110,0,1968,4,7,10,1,4,30450,2,-1
557,18,5,5,5,985,0,140,0,1950,4,8,7,1,1,73707,1,0
608,12,5,5,5,59169,1,128,1,1995,4,7,1,1,3,19980,2,0
770,12,5,5,5,32500,0,70,0,999,20,5,1,1,0,18990,3,0
774,8,3,5,5,6,0,81,0,999,20,7,1,1,0,29440,1,0
485,8,5,5,5,10561,1,120,0,1332,16,7,7,1,2,38885,2,0
469,4,5,4,2,36519,1,320,0,2999,16,8,7,1,1,70875,4,0
646,4,5,4,2,17000,1,478,0,3745,28,5,7,1,1,259900,2,-1
798,18,5,5,4,90555,1,103,0,1390,16,4,1,4,0,19990,8,0
338,3,4,4,2,10,1,341,0,4969,16,7,2,3,1,113890,0,0
726,8,4,5,5,100,1,378,0,1968,10,5,13,1,1,57990,1,-2
598,13,5,5,4,123600,1,100,0,1598,3,5,2,1,3,13950,6,0
100,12,5,5,4,66217,1,195,0,2993,3,6,1,1,1,45999,5,0
528,12,5,5,4,130000,1,205,0,3498,10,5,12,3,1,21980,11,-2
72,3,5,4,3,12535,1,135,0,1998,21,8,8,4,0,34990,2,-1
184,8,5,5,4,58773,1,84,1,1598,13,5,1,5,0,15290,4,0
795,8,5,5,4,182456,0,110,0,1498,16,8,7,1,5,19890,4,-1
473,8,5,5,5,11539,1,300,0,1968,10,5,1,1,1,59885,2,0
496,8,5,5,5,55593,1,155,0,1991,20,5,12,1,1,37440,6,0
95,13,5,5,4,179230,1,190,0,2993,3,5,1,1,0,16900,7,0
115,4,1,4,2,5600,1,460,0,4395,21,7,11,1,1,146789,1,-2
24,12,5,5,5,28777,1,110,0,1984,20,8,1,4,0,27490,3,0
310,8,5,5,5,12439,1,77,0,1600,20,8,7,1,3,26950,3,0
33,8,2,5,4,1001,1,110,0,2000,4,7,7,1,0,44950,1,-2
768,13,1,5,5,39326,1,147,0,1968,4,7,12,1,1,49840,2,0
682,18,5,7,5,14590,1,110,0,1395,20,7,7,1,3,39650,1,-2
23,12,5,5,4,58000,1,96,0,1498,5,8,2,1,1,22680,4,0
504,4,5,5,5,83744,1,190,0,2987,4,5,1,1,1,56780,5,0
281,12,5,5,4,22819,1,66,1,1396,16,4,4,1,0,9190,12,0
302,8,5,5,5,6400,1,103,1,1956,4,8,10,1,0,26890,3,0
304,8,5,5,5,82800,1,147,0,2776,3,4,12,1,1,35990,8,0
598,12,5,5,5,46000,1,110,0,1399,21,5,1,1,3,16690,5,0
35,8,5,5,4,84300,1,185,0,1984,16,5,10,1,1,39480,5,0
606,8,1,5,5,15000,1,165,0,1598,10,7,12,1,0,38990,1,0
774,8,5,5,5,49122,1,70,1,999,26,8,9,1,2,16900,4,0
700,13,5,5,4,98621,0,77,1,1598,3,4,4,1,0,9490,10,0
330,8,5,5,5,14100,1,258,0,2997,4,5,7,1,1,172900,1,-2
54,8,5,5,5,153670,1,250,0,2967,4,5,12,1,1,37900,6,0
179,8,5,5,5,27980,0,228,0,1984,20,5,12,1,0,41685,1,-2
450,4,1,5,4,9513,1,195,0,1992,4,7,9,1,2,66995,1,0
23,13,5,5,4,32000,1,110,0,1498,11,8,7,1,0,24990,3,0
802,2,5,4,4,52660,1,55,1,999,11,4,1,1,0,7900,10,-1
26,4,2,4,3,26833,1,150,0,1968,4,7,1,1,1,39990,2,0
62,8,5,5,5,83537,1,265,0,2998,27,5,10,1,1,43890,5,0
622,12,5,4,2,19186,1,80,0,1587,16,4,7,5,2,8750,17,0
758,13,5,5,5,100000,0,110,0,1968,4,7,12,1,5,21580,3,-2
685,8,5,5,5,32800,1,110,0,1498,21,8,7,1,5,26997,4,0
483,8,1,5,5,53350,1,430,0,3982,21,7,12,5,1,199989,2,-1
768,13,5,5,4,89590,0,110,0,1968,4,8,1,1,2,23880,3,-2
652,4,5,2,2,29800,1,294,0,3995,16,5,10,1,5,99690,2,0
27,13,2,5,5,26425,1,210,0,2967,4,5,1,1,1,55859,1,0
26,3,5,4,2,96000,1,160,0,2967,3,5,7,1,1,30990,6,0
120,8,5,5,4,78213,1,195,0,2993,3,6,12,3,1,42500,3,0
643,4,5,4,3,171121,1,120,1,2449,16,2,1,1,0,20900,37,0
796,8,5,5,5,28100,1,147,0,1968,4,7,7,1,4,46440,1,-2
560,17,5,5,5,178127,0,100,1,2143,4,5,12,1,0,19873,7,0
401,10,1,3,4,5000,0,140,1,1950,4,5,12,1,0,59490,1,0
97,13,5,5,5,215000,1,210,1,3982,20,5,1,4,1,25890,28,-1
693,8,5,5,5,3,1,109,0,1968,10,5,2,1,0,42490,2,-1
124,8,5,5,5,147496,1,190,0,2993,4,5,1,1,1,32900,9,0
72,4,2,4,2,9916,0,140,0,1995,4,5,1,1,1,41980,1,-2
222,18,5,5,4,127500,0,54,1,1360,13,4,1,1,0,5990,9,-1
158,2,5,4,4,78603,0,51,1,998,16,5,7,1,0,7490,7,0
346,2,3,2,2,10,1,6,0,480,3,4,7,1,1,18635,1,0
795,8,5,5,4,110425,1,140,0,1968,3,5,1,1,5,26800,5,0
684,8,2,5,5,25,1,81,0,999,26,7,12,1,0,26990,1,-2
226,10,5,3,5,70000,0,55,1,1560,3,4,12,1,0,13480,9,0
752,12,5,5,4,106000,1,155,1,1984,16,4,12,1,0,13980,13,-2
30,12,5,5,4,66000,0,210,0,2967,4,8,2,1,1,78900,4,-1
419,18,5,5,5,19385,1,100,0,1332,20,8,1,1,3,27400,4,0
795,8,5,5,5,57476,0,132,0,1984,20,5,1,1,2,27890,6,0
483,8,1,5,5,5005,1,430,0,3982,20,5,12,1,1,229989,0,-3
242,13,5,5,4,145400,0,140,0,1995,4,8,12,5,1,16900,4,-1
775,8,5,5,5,10,1,110,1,1498,20,7,1,1,0,28790,1,-2
117,8,5,5,5,23174,1,170,0,1998,21,8,12,1,0,36840,4,0
702,13,5,5,5,65284,1,140,0,1968,4,5,12,1,0,27929,4,0
819,3,5,2,2,125778,1,52,0,599,11,2,1,1,3,9450,21,0
